11.8
4
NVIDIA GeForce RTX 4090
True
Message sent successfully!
Namespace(batch_size=128, lr=0.01, epochs=20, analyze=False)
SEED 42
[sgd][none][epoch 1] train_loss=2.0043, train_acc=0.2652, test_acc=0.3901
[sgd][none][epoch 11] train_loss=0.8555, train_acc=0.6975, test_acc=0.6739
[sgd][none][epoch 12] train_loss=0.8128, train_acc=0.7147, test_acc=0.6714
[sgd][none][epoch 13] train_loss=0.7774, train_acc=0.7244, test_acc=0.6844
[sgd][none][epoch 14] train_loss=0.7446, train_acc=0.7378, test_acc=0.6712
[sgd][none][epoch 15] train_loss=0.7130, train_acc=0.7504, test_acc=0.6967
[sgd][none][epoch 16] train_loss=0.6769, train_acc=0.7616, test_acc=0.6910
[sgd][none][epoch 17] train_loss=0.6570, train_acc=0.7681, test_acc=0.6931
[sgd][none][epoch 18] train_loss=0.6386, train_acc=0.7762, test_acc=0.7021
[sgd][none][epoch 19] train_loss=0.6080, train_acc=0.7853, test_acc=0.6982
[sgd][none][epoch 20] train_loss=0.5840, train_acc=0.7949, test_acc=0.6778
[sgd][standard][epoch 1] train_loss=2.0407, train_acc=0.2494, test_acc=0.3775
[sgd][standard][epoch 2] train_loss=1.6937, train_acc=0.3859, test_acc=0.4468
[sgd][standard][epoch 3] train_loss=1.5486, train_acc=0.4374, test_acc=0.4884
[sgd][standard][epoch 4] train_loss=1.4723, train_acc=0.4689, test_acc=0.5155
[sgd][standard][epoch 5] train_loss=1.4086, train_acc=0.4926, test_acc=0.5603
[sgd][standard][epoch 6] train_loss=1.3517, train_acc=0.5127, test_acc=0.5646
[sgd][standard][epoch 7] train_loss=1.3047, train_acc=0.5300, test_acc=0.5974
[sgd][standard][epoch 8] train_loss=1.2650, train_acc=0.5454, test_acc=0.6163
[sgd][standard][epoch 9] train_loss=1.2220, train_acc=0.5641, test_acc=0.6208
[sgd][standard][epoch 10] train_loss=1.1993, train_acc=0.5716, test_acc=0.6378
[sgd][standard][epoch 11] train_loss=1.1627, train_acc=0.5833, test_acc=0.6552
[sgd][standard][epoch 12] train_loss=1.1434, train_acc=0.5901, test_acc=0.6500
[sgd][standard][epoch 13] train_loss=1.1314, train_acc=0.5986, test_acc=0.6619
[sgd][standard][epoch 14] train_loss=1.1073, train_acc=0.6054, test_acc=0.6635
[sgd][standard][epoch 15] train_loss=1.0958, train_acc=0.6111, test_acc=0.6747
[sgd][standard][epoch 16] train_loss=1.0843, train_acc=0.6131, test_acc=0.6678
[sgd][standard][epoch 17] train_loss=1.0639, train_acc=0.6221, test_acc=0.6751
[sgd][standard][epoch 18] train_loss=1.0448, train_acc=0.6305, test_acc=0.6828
[sgd][standard][epoch 19] train_loss=1.0394, train_acc=0.6302, test_acc=0.6652
[sgd][standard][epoch 20] train_loss=1.0273, train_acc=0.6353, test_acc=0.6961
[sgd][aggressive][epoch 1] train_loss=2.0646, train_acc=0.2437, test_acc=0.3856
[sgd][aggressive][epoch 2] train_loss=1.7912, train_acc=0.3552, test_acc=0.4649
[sgd][aggressive][epoch 3] train_loss=1.6363, train_acc=0.4080, test_acc=0.4622
[sgd][aggressive][epoch 4] train_loss=1.5608, train_acc=0.4355, test_acc=0.4828
[sgd][aggressive][epoch 5] train_loss=1.5063, train_acc=0.4545, test_acc=0.5366
[sgd][aggressive][epoch 6] train_loss=1.4610, train_acc=0.4755, test_acc=0.5395
[sgd][aggressive][epoch 7] train_loss=1.4184, train_acc=0.4916, test_acc=0.5608
[sgd][aggressive][epoch 8] train_loss=1.3873, train_acc=0.5043, test_acc=0.5799
[sgd][aggressive][epoch 9] train_loss=1.3462, train_acc=0.5190, test_acc=0.6037
[sgd][aggressive][epoch 10] train_loss=1.3189, train_acc=0.5313, test_acc=0.6135
[sgd][aggressive][epoch 11] train_loss=1.2964, train_acc=0.5383, test_acc=0.6157
[sgd][aggressive][epoch 12] train_loss=1.2798, train_acc=0.5443, test_acc=0.6221
[sgd][aggressive][epoch 13] train_loss=1.2447, train_acc=0.5550, test_acc=0.6303
[sgd][aggressive][epoch 14] train_loss=1.2455, train_acc=0.5583, test_acc=0.6474
[sgd][aggressive][epoch 15] train_loss=1.2229, train_acc=0.5663, test_acc=0.6583
[sgd][aggressive][epoch 16] train_loss=1.2149, train_acc=0.5711, test_acc=0.6548
[sgd][aggressive][epoch 17] train_loss=1.1953, train_acc=0.5769, test_acc=0.6514
[sgd][aggressive][epoch 18] train_loss=1.1797, train_acc=0.5802, test_acc=0.6521
[sgd][aggressive][epoch 19] train_loss=1.1690, train_acc=0.5845, test_acc=0.6624
[sgd][aggressive][epoch 20] train_loss=1.1596, train_acc=0.5901, test_acc=0.6623
[adam][none][epoch 1] train_loss=1.7632, train_acc=0.3531, test_acc=0.4299
[adam][none][epoch 2] train_loss=1.5243, train_acc=0.4486, test_acc=0.4979
[adam][none][epoch 3] train_loss=1.4566, train_acc=0.4711, test_acc=0.5188
[adam][none][epoch 4] train_loss=1.4304, train_acc=0.4808, test_acc=0.5000
[adam][none][epoch 5] train_loss=1.4109, train_acc=0.4907, test_acc=0.5087
[adam][none][epoch 6] train_loss=1.4031, train_acc=0.4983, test_acc=0.5271
[adam][none][epoch 7] train_loss=1.3831, train_acc=0.5013, test_acc=0.5123
[adam][none][epoch 8] train_loss=1.3821, train_acc=0.5024, test_acc=0.5529
[adam][none][epoch 9] train_loss=1.3669, train_acc=0.5103, test_acc=0.5251
[adam][none][epoch 10] train_loss=1.3697, train_acc=0.5087, test_acc=0.5277
[adam][none][epoch 11] train_loss=1.3734, train_acc=0.5077, test_acc=0.5407
[adam][none][epoch 12] train_loss=1.3641, train_acc=0.5121, test_acc=0.5310
[adam][none][epoch 13] train_loss=1.3571, train_acc=0.5137, test_acc=0.5501
[adam][none][epoch 14] train_loss=1.3592, train_acc=0.5151, test_acc=0.5302
